datum,atc_category,sales_quantity,time_idx,day_of_week,month,day_of_year,week_of_year,is_weekend,month_sin,month_cos,sales_lag_1,sales_lag_7,rolling_mean_7,category_encoded,sales_class
2014-01-09,M01AB,7.0,7,3,1,9,2,0,0.49999999999999994,0.8660254037844387,5.33,0.0,3.4757142857142855,0,2
2014-01-09,M01AE,1.68,7,3,1,9,2,0,0.49999999999999994,0.8660254037844387,3.0,3.67,2.2385714285714284,1,0
2014-01-09,N02BA,8.0,7,3,1,9,2,0,0.49999999999999994,0.8660254037844387,10.5,3.4,5.185714285714285,2,2
2014-01-09,N02BE,25.0,7,3,1,9,2,0,0.49999999999999994,0.8660254037844387,26.4,32.4,33.43571428571429,3,2
2014-01-09,N05B,16.0,7,3,1,9,2,0,0.49999999999999994,0.8660254037844387,19.0,7.0,10.857142857142858,4,2
2014-01-09,N05C,0.0,7,3,1,9,2,0,0.49999999999999994,0.8660254037844387,1.0,0.0,0.42857142857142855,5,0
2014-01-09,R03,3.0,7,3,1,9,2,0,0.49999999999999994,0.8660254037844387,10.0,0.0,6.857142857142857,6,1
2014-01-09,R06,2.0,7,3,1,9,2,0,0.49999999999999994,0.8660254037844387,0.0,2.0,1.2857142857142858,7,0
2014-01-10,M01AB,5.0,8,4,1,10,2,0,0.49999999999999994,0.8660254037844387,7.0,8.0,4.475714285714285,0,1
2014-01-10,M01AE,2.0,8,4,1,10,2,0,0.49999999999999994,0.8660254037844387,1.68,4.0,1.9542857142857142,1,0
2014-01-10,N02BA,2.0,8,4,1,10,2,0,0.49999999999999994,0.8660254037844387,8.0,4.4,5.842857142857143,2,0
2014-01-10,N02BE,53.3,8,4,1,10,2,0,0.49999999999999994,0.8660254037844387,25.0,50.6,32.378571428571426,3,2
2014-01-10,N05B,15.0,8,4,1,10,2,0,0.49999999999999994,0.8660254037844387,16.0,16.0,12.142857142857142,4,2
2014-01-10,N05C,2.0,8,4,1,10,2,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.42857142857142855,5,0
2014-01-10,R03,0.0,8,4,1,10,2,0,0.49999999999999994,0.8660254037844387,3.0,20.0,7.285714285714286,6,0
2014-01-10,R06,2.0,8,4,1,10,2,0,0.49999999999999994,0.8660254037844387,2.0,4.0,1.2857142857142858,7,0
2014-01-11,M01AB,5.0,9,5,1,11,2,1,0.49999999999999994,0.8660254037844387,5.0,2.0,4.047142857142857,0,1
2014-01-11,M01AE,4.34,9,5,1,11,2,1,0.49999999999999994,0.8660254037844387,2.0,1.0,1.6685714285714286,1,1
2014-01-11,N02BA,10.4,9,5,1,11,2,1,0.49999999999999994,0.8660254037844387,2.0,6.5,5.5,2,2
2014-01-11,N02BE,52.3,9,5,1,11,2,1,0.49999999999999994,0.8660254037844387,53.3,61.85,32.76428571428571,3,2
2014-01-11,N05B,14.0,9,5,1,11,2,1,0.49999999999999994,0.8660254037844387,15.0,10.0,12.0,4,2
2014-01-11,N05C,0.0,9,5,1,11,2,1,0.49999999999999994,0.8660254037844387,2.0,0.0,0.7142857142857143,5,0
2014-01-11,R03,1.0,9,5,1,11,2,1,0.49999999999999994,0.8660254037844387,0.0,9.0,4.428571428571429,6,0
2014-01-11,R06,0.2,9,5,1,11,2,1,0.49999999999999994,0.8660254037844387,2.0,1.0,1.0,7,0
2014-01-12,M01AB,2.0,10,6,1,12,2,1,0.49999999999999994,0.8660254037844387,5.0,4.0,4.475714285714285,0,0
2014-01-12,M01AE,0.66,10,6,1,12,2,1,0.49999999999999994,0.8660254037844387,4.34,3.0,2.1457142857142855,1,0
2014-01-12,N02BA,2.5,10,6,1,12,2,1,0.49999999999999994,0.8660254037844387,10.4,7.0,6.057142857142857,2,1
2014-01-12,N02BE,12.0,10,6,1,12,2,1,0.49999999999999994,0.8660254037844387,52.3,41.1,31.400000000000002,3,2
2014-01-12,N05B,8.0,10,6,1,12,2,1,0.49999999999999994,0.8660254037844387,14.0,8.0,12.571428571428571,4,2
2014-01-12,N05C,0.0,10,6,1,12,2,1,0.49999999999999994,0.8660254037844387,0.0,0.0,0.7142857142857143,5,0
2014-01-12,R03,1.0,10,6,1,12,2,1,0.49999999999999994,0.8660254037844387,1.0,3.0,3.2857142857142856,6,0
2014-01-12,R06,1.0,10,6,1,12,2,1,0.49999999999999994,0.8660254037844387,0.2,0.0,0.8857142857142858,7,0
2014-01-13,M01AB,7.34,11,0,1,13,3,0,0.49999999999999994,0.8660254037844387,2.0,5.0,4.1899999999999995,0,2
2014-01-13,M01AE,7.66,11,0,1,13,3,0,0.49999999999999994,0.8660254037844387,0.66,1.0,1.8114285714285714,1,2
2014-01-13,N02BA,6.2,11,0,1,13,3,0,0.49999999999999994,0.8660254037844387,2.5,4.5,5.4142857142857155,2,2
2014-01-13,N02BE,52.0,11,0,1,13,3,0,0.49999999999999994,0.8660254037844387,12.0,21.7,27.24285714285714,3,2
2014-01-13,N05B,9.0,11,0,1,13,3,0,0.49999999999999994,0.8660254037844387,8.0,16.0,12.571428571428571,4,2
2014-01-13,N05C,0.0,11,0,1,13,3,0,0.49999999999999994,0.8660254037844387,0.0,2.0,0.7142857142857143,5,0
2014-01-13,R03,7.0,11,0,1,13,3,0,0.49999999999999994,0.8660254037844387,1.0,6.0,3.0,6,2
2014-01-13,R06,1.0,11,0,1,13,3,0,0.49999999999999994,0.8660254037844387,1.0,2.0,1.0285714285714287,7,0
2014-01-14,M01AB,6.0,12,1,1,14,3,0,0.49999999999999994,0.8660254037844387,7.34,0.0,4.524285714285715,0,1
2014-01-14,M01AE,1.33,12,1,1,14,3,0,0.49999999999999994,0.8660254037844387,7.66,0.0,2.762857142857143,1,0
2014-01-14,N02BA,12.3,12,1,1,14,3,0,0.49999999999999994,0.8660254037844387,6.2,0.0,5.6571428571428575,2,2
2014-01-14,N02BE,33.7,12,1,1,14,3,0,0.49999999999999994,0.8660254037844387,52.0,0.0,31.571428571428573,3,2
2014-01-14,N05B,6.0,12,1,1,14,3,0,0.49999999999999994,0.8660254037844387,9.0,0.0,11.571428571428571,4,1
2014-01-14,N05C,1.0,12,1,1,14,3,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.42857142857142855,5,0
2014-01-14,R03,0.0,12,1,1,14,3,0,0.49999999999999994,0.8660254037844387,7.0,0.0,3.142857142857143,6,0
2014-01-14,R06,2.0,12,1,1,14,3,0,0.49999999999999994,0.8660254037844387,1.0,0.0,0.8857142857142858,7,0
2014-01-15,M01AB,4.0,13,2,1,15,3,0,0.49999999999999994,0.8660254037844387,6.0,5.33,5.381428571428572,0,1
2014-01-15,M01AE,2.34,13,2,1,15,3,0,0.49999999999999994,0.8660254037844387,1.33,3.0,2.9528571428571433,1,1
2014-01-15,N02BA,5.0,13,2,1,15,3,0,0.49999999999999994,0.8660254037844387,12.3,10.5,7.414285714285714,2,1
2014-01-15,N02BE,26.7,13,2,1,15,3,0,0.49999999999999994,0.8660254037844387,33.7,26.4,36.385714285714286,3,2
2014-01-15,N05B,12.0,13,2,1,15,3,0,0.49999999999999994,0.8660254037844387,6.0,19.0,12.428571428571429,4,2
2014-01-15,N05C,2.0,13,2,1,15,3,0,0.49999999999999994,0.8660254037844387,1.0,1.0,0.5714285714285714,5,0
2014-01-15,R03,3.0,13,2,1,15,3,0,0.49999999999999994,0.8660254037844387,0.0,10.0,3.142857142857143,6,1
2014-01-15,R06,3.0,13,2,1,15,3,0,0.49999999999999994,0.8660254037844387,2.0,0.0,1.1714285714285713,7,1
2014-01-16,M01AB,6.0,14,3,1,16,3,0,0.49999999999999994,0.8660254037844387,4.0,7.0,5.191428571428572,0,1
2014-01-16,M01AE,2.0,14,3,1,16,3,0,0.49999999999999994,0.8660254037844387,2.34,1.68,2.858571428571428,1,0
2014-01-16,N02BA,4.3,14,3,1,16,3,0,0.49999999999999994,0.8660254037844387,5.0,8.0,6.628571428571429,2,1
